Image_Number,Master_Run_Number,PC_Time,GPS_Time,UTC_Time,Pressure(hPa),North(mm),East(mm),Down(mm),Distance(mm),H_RTK_Accuracy(mm),V_RTK_Accuracy(mm),N_SATS_RTK,Flags,Latitude(deg),Longitude(deg),Height(m),H_Accuracy(mm),V_Accuracy(mm),N_Sats
22,26,2021-08-06 16:28:07.544522,2021-08-06 08:28:24.800000,2021-8-6 8:28:6.799999947,1300,203,-3437,-1035,3595.1916499680515,90,225,15,4,1.2847121439141445,103.81165000741532,38.33586268879245,753,1975,15
22,26,2021-08-06 16:28:07.617379,2021-08-06 08:28:24.900000,2021-8-6 8:28:6.899999948,1300,182,-3541,-1061,3701.016887289222,92,231,15,4,1.284711871068646,103.81164897596908,38.358521033055005,690,1811,15
22,26,2021-08-06 16:28:07.801173,2021-08-06 08:28:25.000000,2021-8-6 8:28:6.999999947,1300,168,-3634,-1043,3784.4456661445147,94,234,15,4,1.2847117059194748,103.8116480612178,38.33185848611314,665,1746,15
22,26,2021-08-06 16:28:07.890695,2021-08-06 08:28:25.100000,2021-8-6 8:28:7.099999947,1300,159,-3742,-1043,3887.890687763739,94,235,15,4,1.2847115890726903,103.81164702567294,38.32087479867949,696,1829,15
22,26,2021-08-06 16:28:07.931493,2021-08-06 08:28:25.200000,2021-8-6 8:28:7.199999946,1300,153,-3841,-1024,3978.098289384012,98,245,15,4,1.284711538787134,103.81164617221569,38.315911491153,1382,3632,15
22,26,2021-08-06 16:28:08.028526,2021-08-06 08:28:25.300000,2021-8-6 8:28:7.299999947,1300,134,-3941,-1054,4081.709568305908,80,199,15,4,1.2847113318949828,103.8116452804535,38.35799583907112,1523,4003,15
22,26,2021-08-06 16:28:08.123923,2021-08-06 08:28:25.400000,2021-8-6 8:28:7.399999946,1300,138,-4043,-1041,4177.149027746077,75,186,15,4,1.2847113122043188,103.81164432026183,38.338786958833104,735,1932,15
23,27,2021-08-06 16:28:08.229107,2021-08-06 08:28:25.500000,2021-8-6 8:28:7.499999945,1300,140,-4148,-1044,4279.654191637451,80,199,15,4,1.284711269586186,103.81164333674016,38.33522744209114,750,1972,15
23,27,2021-08-06 16:28:08.340842,2021-08-06 08:28:25.600000,2021-8-6 8:28:7.599999945,1300,136,-4248,-1036,4374.619526313117,76,190,15,4,1.2847112024700802,103.81164240707014,38.319357841144864,670,1763,15
23,27,2021-08-06 16:28:08.425980,2021-08-06 08:28:25.700000,2021-8-6 8:28:7.699999944,1300,137,-4351,-1043,4476.362250756746,79,196,15,4,1.2847111943679341,103.81164142577323,38.320604863387956,666,1753,15
23,27,2021-08-06 16:28:08.651846,2021-08-06 08:28:25.800000,2021-8-6 8:28:7.799999945,1300,131,-4450,-1043,4572.473072638045,80,199,15,4,1.2847111290501059,103.81164047899843,38.30961677686773,656,1728,15
23,27,2021-08-06 16:28:08.658826,2021-08-06 08:28:25.900000,2021-8-6 8:28:7.899999944,1300,110,-4561,-1056,4682.943198459704,81,202,15,4,1.28471093477422,103.81163944402658,38.32210041921022,639,1682,15
23,27,2021-08-06 16:28:08.853213,2021-08-06 08:28:26.000000,2021-8-6 8:28:7.999999943,1300,97,-4655,-1059,4774.925653871482,86,214,15,4,1.2847108202995876,103.81163858432375,38.30245417000711,753,1977,15
23,27,2021-08-06 16:28:08.878177,2021-08-06 08:28:26.100000,2021-8-6 8:28:8.099999942,1300,85,-4754,-1049,4869.100738329409,93,227,15,4,1.2847107334325611,103.81163767126036,38.27785598904632,759,1988,15
23,27,2021-08-06 16:28:08.883161,2021-08-06 08:28:26.200000,2021-8-6 8:28:8.199999943,1300,69,-4851,-1041,4961.919285921527,96,234,15,4,1.2847106195848126,103.81163678037029,38.25691603563271,786,2054,15
23,27,2021-08-06 16:28:09.011943,2021-08-06 08:28:26.300000,2021-8-6 8:28:8.299999943,1300,65,-4948,-1010,5050.448395934761,87,210,15,4,1.284710650956491,103.81163588352827,38.20779208582093,901,2350,15
23,27,2021-08-06 16:28:09.111797,2021-08-06 08:28:26.400000,2021-8-6 8:28:8.399999942,1300,47,-5048,-1041,5154.434401561436,82,198,15,4,1.2847105253027002,103.81163493756723,38.21969780510796,902,2348,15
23,27,2021-08-06 16:28:09.217567,2021-08-06 08:28:26.500000,2021-8-6 8:28:8.499999941,1300,42,-5148,-1041,5252.366038272657,88,212,15,4,1.2847105166688428,103.8116339954941,38.206747988726555,866,2249,15
23,27,2021-08-06 16:28:09.330398,2021-08-06 08:28:26.600000,2021-8-6 8:28:8.599999941,1300,34,-5238,-1031,5338.610399720137,86,206,15,4,1.2847104830521587,103.81163312117486,38.18628750421479,858,2223,15
23,27,2021-08-06 16:28:09.413599,2021-08-06 08:28:26.700000,2021-8-6 8:28:8.699999940,1300,37,-5342,-1012,5437.138677650221,88,212,15,4,1.2847105425748069,103.81163214259739,38.15519377026371,822,2126,15
23,27,2021-08-06 16:28:09.514885,2021-08-06 08:28:26.800000,2021-8-6 8:28:8.799999941,1300,24,-5439,-1014,5532.765402581244,96,231,15,4,1.2847104649000567,103.81163120432255,38.14491471635031,878,2269,15
23,27,2021-08-06 16:28:09.611804,2021-08-06 08:28:26.900000,2021-8-6 8:28:8.899999940,1300,8,-5548,-1037,5644.088677545738,91,219,15,4,1.2847103452351605,103.81163016175545,38.16129928778671,835,2153,15
23,27,2021-08-06 16:28:09.736513,2021-08-06 08:28:27.000000,2021-8-6 8:28:8.999999940,1300,-17,-5647,-1037,5741.45164570773,100,240,15,4,1.284710151077399,103.81162919726329,38.15122082027692,913,2351,15
23,27,2021-08-06 16:28:09.845466,2021-08-06 08:28:27.100000,2021-8-6 8:28:9.099999939,1300,-30,-5760,-1027,5850.916936686078,97,234,15,4,1.2847100423605717,103.81162809825679,38.13431694136532,887,2281,15
23,27,2021-08-06 16:28:09.921473,2021-08-06 08:28:27.200000,2021-8-6 8:28:9.199999938,1300,-46,-5864,-1020,5952.227482212016,94,226,15,4,1.2847099242931834,103.81162710027205,38.10853605048969,866,2222,15
23,27,2021-08-06 16:28:10.022987,2021-08-06 08:28:27.300000,2021-8-6 8:28:9.299999938,1300,-52,-5959,-994,6041.557828904727,96,231,15,4,1.2847099872917735,103.81162622539028,38.05021411600817,819,2104,15
23,27,2021-08-06 16:28:10.119873,2021-08-06 08:28:27.400000,2021-8-6 8:28:9.399999940,1300,-60,-6069,-1008,6152.432445789226,93,224,15,4,1.2847099965525652,103.81162524073562,38.03486554749579,829,2132,15
24,28,2021-08-06 16:28:10.223186,2021-08-06 08:28:27.500000,2021-8-6 8:28:9.499999939,1300,-68,-6172,-1018,6255.759905878742,101,245,15,4,1.2847100423812154,103.8116242916851,38.02184083569296,765,1969,15
24,28,2021-08-06 16:28:10.335863,2021-08-06 08:28:27.600000,2021-8-6 8:28:9.599999939,1300,-65,-6283,-1023,6366.069666599636,92,224,15,4,1.284710185817176,103.81162328576781,37.98431214885712,717,1848,15
24,28,2021-08-06 16:28:10.419364,2021-08-06 08:28:27.700000,2021-8-6 8:28:9.699999939,1300,-70,-6385,-990,6461.673544833413,110,270,15,4,1.2847102309010363,103.811622374307,37.913528345363474,746,1927,15
24,28,2021-08-06 16:28:10.607944,2021-08-06 08:28:27.800000,2021-8-6 8:28:9.799999938,1300,-79,-6488,-993,6564.025746445545,104,255,15,4,1.2847102714421192,103.81162143100141,37.88041492830588,776,2005,15
24,28,2021-08-06 16:28:10.617968,2021-08-06 08:28:27.900000,2021-8-6 8:28:9.899999937,1300,-90,-6604,-1013,6681.847424178436,101,247,15,4,1.2847102247457927,103.81162040437148,37.86966980895114,696,1802,15
24,28,2021-08-06 16:28:10.774427,2021-08-06 08:28:28.000000,2021-8-6 8:28:9.999999937,1300,-100,-6704,-1013,6780.839549790277,95,232,15,4,1.2847101749340928,103.81161947792882,37.84872448373153,700,1813,15
24,28,2021-08-06 16:28:10.869355,2021-08-06 08:28:28.100000,2021-8-6 8:28:10.099999937,1300,-111,-6811,-1005,6885.642090611448,101,249,15,4,1.2847101132665273,103.81161853473506,37.8145091772556,711,1846,15
24,28,2021-08-06 16:28:10.923984,2021-08-06 08:28:28.200000,2021-8-6 8:28:10.199999936,1300,-135,-6914,-1005,6987.964367396274,99,242,15,4,1.2847099951744552,103.81161759426878,37.78407637627365,726,1886,15
24,28,2021-08-06 16:28:11.020207,2021-08-06 08:28:28.300000,2021-8-6 8:28:10.299999936,1300,-142,-7012,-988,7082.6867783349,97,238,15,4,1.2847099605542012,103.81161668310696,37.75086987457196,778,2024,15
24,28,2021-08-06 16:28:11.117105,2021-08-06 08:28:28.400000,2021-8-6 8:28:10.399999936,1300,-136,-7117,-982,7185.715621982267,95,234,15,4,1.2847100206366882,103.81161573352159,37.726772318817154,726,1889,15
24,28,2021-08-06 16:28:11.222480,2021-08-06 08:28:28.500000,2021-8-6 8:28:10.499999935,1300,-134,-7221,-1000,7291.14510896608,98,242,15,4,1.2847100559436795,103.8116147845462,37.72636444406396,735,1913,15
24,28,2021-08-06 16:28:11.335034,2021-08-06 08:28:28.600000,2021-8-6 8:28:10.599999935,1300,-134,-7321,-988,7388.581798965211,105,258,15,4,1.2847100819524453,103.81161384786022,37.713900374302256,719,1876,15
24,28,2021-08-06 16:28:11.416940,2021-08-06 08:28:28.700000,2021-8-6 8:28:10.699999934,1300,-127,-7422,-988,7488.548390709644,99,245,15,4,1.2847101382706443,103.81161293233755,37.71449801035457,694,1810,15
24,28,2021-08-06 16:28:11.536077,2021-08-06 08:28:28.800000,2021-8-6 8:28:10.799999934,1300,-109,-7521,-975,7584.7179908022945,101,250,15,4,1.2847103083027618,103.81161204516879,37.705030818612734,866,2260,15
24,28,2021-08-06 16:28:11.597650,2021-08-06 08:28:28.900000,2021-8-6 8:28:10.899999935,1300,-108,-7623,-980,7686.4941943645545,90,223,15,4,1.2847103479358684,103.81161113634015,37.719618929790606,851,2223,15
24,28,2021-08-06 16:28:11.788713,2021-08-06 08:28:29.000000,2021-8-6 8:28:10.999999933,1300,-113,-7723,-1003,7788.678129182127,102,251,15,4,1.2847103293964504,103.81161021721235,37.73086875445313,718,1878,15
24,28,2021-08-06 16:28:11.886359,2021-08-06 08:28:29.100000,2021-8-6 8:28:11.099999933,1300,-122,-7830,-1010,7895.814334189983,109,268,15,4,1.2847102298567028,103.81160926537324,37.73099291012148,684,1789,15
24,28,2021-08-06 16:28:11.930544,2021-08-06 08:28:29.200000,2021-8-6 8:28:11.199999932,1300,-124,-7928,-995,7991.15667472488,104,256,15,4,1.2847102225221725,103.81160837100293,37.70797431211136,658,1722,15
24,28,2021-08-06 16:28:11.994677,2021-08-06 08:28:29.300000,2021-8-6 8:28:11.299999933,1300,-120,-8027,-1002,8090.187451474781,118,299,15,4,1.2847102811773272,103.81160746365906,37.6889761572693,676,1771,15
24,28,2021-08-06 16:28:12.117469,2021-08-06 08:28:29.400000,2021-8-6 8:28:11.399999932,1300,-114,-8142,-1022,8206.682886526078,90,228,15,4,1.2847103445341481,103.81160641854272,37.70640848442975,700,1835,15
25,29,2021-08-06 16:28:12.223978,2021-08-06 08:28:29.500000,2021-8-6 8:28:11.499999931,1300,-108,-8239,-1029,8303.711579769615,121,305,15,4,1.2847104212680582,103.81160549902513,37.69921142521907,758,1989,15
25,29,2021-08-06 16:28:12.335599,2021-08-06 08:28:29.600000,2021-8-6 8:28:11.599999930,1300,-91,-8334,-1029,8397.778158536936,109,275,15,4,1.2847105942429233,103.8116045977282,37.6838765443664,748,1964,15
25,29,2021-08-06 16:28:12.397111,2021-08-06 08:28:29.700000,2021-8-6 8:28:11.699999931,1300,-74,-8443,-1026,8505.433616224396,102,258,15,4,1.2847107620786822,103.8116035824946,37.668817226009566,726,1907,15
25,29,2021-08-06 16:28:12.625613,2021-08-06 08:28:29.800000,2021-8-6 8:28:11.799999930,1300,-67,-8546,-1022,8607.153362174977,122,308,15,4,1.284710875001423,103.8116026344481,37.64755015370683,680,1787,15
25,29,2021-08-06 16:28:12.636356,2021-08-06 08:28:29.900000,2021-8-6 8:28:11.899999930,1300,-60,-8651,-1031,8712.425724217108,144,370,15,4,1.284710951610052,103.81160167764023,37.642102293897885,725,1907,15
25,29,2021-08-06 16:28:12.775828,2021-08-06 08:28:30.000000,2021-8-6 8:28:11.999999930,1300,-54,-8754,-1021,8813.505148350456,145,373,15,4,1.284710992544634,103.81160073582963,37.6254180882314,699,1842,15
25,29,2021-08-06 16:28:12.895827,2021-08-06 08:28:30.100000,2021-8-6 8:28:12.099999929,1300,-54,-8864,-1051,8926.25414157585,137,353,15,4,1.284711007585585,103.81159978725582,37.63852769550026,731,1929,15
25,29,2021-08-06 16:28:12.953794,2021-08-06 08:28:30.200000,2021-8-6 8:28:12.199999928,1300,-48,-8961,-1033,9020.471938873265,110,284,15,4,1.2847109110974084,103.81159901996767,37.63420134313696,858,2268,15
25,29,2021-08-06 16:28:13.026738,2021-08-06 08:28:30.300000,2021-8-6 8:28:12.299999927,1300,-42,-9067,-1025,9124.849478210586,107,276,15,4,1.284710933002039,103.81159807855659,37.63278713348477,718,1899,15
25,29,2021-08-06 16:28:13.123260,2021-08-06 08:28:30.400000,2021-8-6 8:28:12.399999926,1300,-35,-9174,-1025,9231.149765874237,76,196,15,4,1.28471094888141,103.81159709129392,37.64435225806793,703,1860,15
25,29,2021-08-06 16:28:13.226944,2021-08-06 08:28:30.500000,2021-8-6 8:28:12.499999926,1300,-22,-9262,-996,9315.425057398079,80,203,15,4,1.2847110295570148,103.81159620110265,37.63322935945891,690,1825,15
25,29,2021-08-06 16:28:13.340043,2021-08-06 08:28:30.600000,2021-8-6 8:28:12.599999926,1300,2,-9362,-1014,9416.753368332422,128,333,15,4,1.28471121064621,103.81159534210711,37.646759563532996,665,1761,15
